Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1/4/2020,US,United States of America,AMR,,0,,0
1/5/2020,US,United States of America,AMR,,0,,0
1/6/2020,US,United States of America,AMR,,0,,0
1/7/2020,US,United States of America,AMR,,0,,0
1/8/2020,US,United States of America,AMR,,0,,0
1/9/2020,US,United States of America,AMR,,0,,0
1/10/2020,US,United States of America,AMR,,0,,0
1/11/2020,US,United States of America,AMR,,0,,0
1/12/2020,US,United States of America,AMR,,0,,0
1/13/2020,US,United States of America,AMR,,0,,0
1/14/2020,US,United States of America,AMR,,0,,0
1/15/2020,US,United States of America,AMR,,0,,0
1/16/2020,US,United States of America,AMR,,0,,0
1/17/2020,US,United States of America,AMR,,0,,0
1/18/2020,US,United States of America,AMR,,0,,0
1/19/2020,US,United States of America,AMR,,0,,0
1/20/2020,US,United States of America,AMR,1,1,,0
1/21/2020,US,United States of America,AMR,,1,,0
1/22/2020,US,United States of America,AMR,,1,,0
1/23/2020,US,United States of America,AMR,,1,,0
1/24/2020,US,United States of America,AMR,,1,,0
1/25/2020,US,United States of America,AMR,5,6,,0
1/26/2020,US,United States of America,AMR,1,7,,0
1/27/2020,US,United States of America,AMR,,7,,0
1/28/2020,US,United States of America,AMR,1,8,,0
1/29/2020,US,United States of America,AMR,,8,,0
1/30/2020,US,United States of America,AMR,,8,,0
1/31/2020,US,United States of America,AMR,,8,,0
2/1/2020,US,United States of America,AMR,,8,,0
2/2/2020,US,United States of America,AMR,1,9,,0
2/3/2020,US,United States of America,AMR,1,10,,0
2/4/2020,US,United States of America,AMR,3,13,,0
2/5/2020,US,United States of America,AMR,4,17,,0
2/6/2020,US,United States of America,AMR,2,19,,0
2/7/2020,US,United States of America,AMR,,19,,0
2/8/2020,US,United States of America,AMR,,19,,0
2/9/2020,US,United States of America,AMR,1,20,,0
2/10/2020,US,United States of America,AMR,,20,,0
2/11/2020,US,United States of America,AMR,,20,,0
2/12/2020,US,United States of America,AMR,,20,,0
2/13/2020,US,United States of America,AMR,,20,,0
2/14/2020,US,United States of America,AMR,2,22,,0
2/15/2020,US,United States of America,AMR,1,23,,0
2/16/2020,US,United States of America,AMR,1,24,,0
2/17/2020,US,United States of America,AMR,,24,,0
2/18/2020,US,United States of America,AMR,,24,,0
2/19/2020,US,United States of America,AMR,2,26,,0
2/20/2020,US,United States of America,AMR,5,31,,0
2/21/2020,US,United States of America,AMR,3,34,,0
2/22/2020,US,United States of America,AMR,1,35,,0
2/23/2020,US,United States of America,AMR,5,40,,0
2/24/2020,US,United States of America,AMR,8,48,,0
2/25/2020,US,United States of America,AMR,,48,,0
2/26/2020,US,United States of America,AMR,4,52,,0
2/27/2020,US,United States of America,AMR,4,56,,0
2/28/2020,US,United States of America,AMR,8,64,,0
2/29/2020,US,United States of America,AMR,5,69,1,1
3/1/2020,US,United States of America,AMR,4,73,,1
3/2/2020,US,United States of America,AMR,9,82,1,2
3/3/2020,US,United States of America,AMR,18,100,,2
3/4/2020,US,United States of America,AMR,35,135,6,8
3/5/2020,US,United States of America,AMR,51,186,3,11
3/6/2020,US,United States of America,AMR,70,256,2,13
3/7/2020,US,United States of America,AMR,78,334,3,16
3/8/2020,US,United States of America,AMR,130,464,3,19
3/9/2020,US,United States of America,AMR,146,610,5,24
3/10/2020,US,United States of America,AMR,212,822,4,28
3/11/2020,US,United States of America,AMR,390,1212,4,32
3/12/2020,US,United States of America,AMR,497,1709,7,39
3/13/2020,US,United States of America,AMR,525,2234,12,51
3/14/2020,US,United States of America,AMR,727,2961,7,58
3/15/2020,US,United States of America,AMR,968,3929,11,69
3/16/2020,US,United States of America,AMR,1219,5148,13,82
3/17/2020,US,United States of America,AMR,2135,7283,18,100
3/18/2020,US,United States of America,AMR,2369,9652,21,121
3/19/2020,US,United States of America,AMR,3229,12881,28,149
3/20/2020,US,United States of America,AMR,4862,17743,64,213
3/21/2020,US,United States of America,AMR,6113,23856,69,282
3/22/2020,US,United States of America,AMR,7559,31415,92,374
3/23/2020,US,United States of America,AMR,9110,40525,112,486
3/24/2020,US,United States of America,AMR,10765,51290,118,604
3/25/2020,US,United States of America,AMR,10754,62044,164,768
3/26/2020,US,United States of America,AMR,11332,73376,209,977
3/27/2020,US,United States of America,AMR,14115,87491,301,1278
3/28/2020,US,United States of America,AMR,18474,105965,341,1619
3/29/2020,US,United States of America,AMR,20344,126309,487,2106
3/30/2020,US,United States of America,AMR,20673,146982,556,2662
3/31/2020,US,United States of America,AMR,26161,173143,665,3327
4/1/2020,US,United States of America,AMR,15536,188679,631,3958
4/2/2020,US,United States of America,AMR,23260,211939,982,4940
4/3/2020,US,United States of America,AMR,28674,240613,1121,6061
4/4/2020,US,United States of America,AMR,29790,270403,1311,7372
4/5/2020,US,United States of America,AMR,32057,302460,1376,8748
4/6/2020,US,United States of America,AMR,32134,334594,1540,10288
4/7/2020,US,United States of America,AMR,26984,361578,1873,12161
4/8/2020,US,United States of America,AMR,28629,390207,1691,13852
4/9/2020,US,United States of America,AMR,29355,419562,2093,15945
4/10/2020,US,United States of America,AMR,34148,453710,2221,18166
4/11/2020,US,United States of America,AMR,34743,488453,2230,20396
4/12/2020,US,United States of America,AMR,33179,521632,2241,22637
4/13/2020,US,United States of America,AMR,31535,553167,2192,24829
4/14/2020,US,United States of America,AMR,27094,580261,1857,26686
4/15/2020,US,United States of America,AMR,25244,605505,1905,28591
4/16/2020,US,United States of America,AMR,25259,630764,2432,31023
4/17/2020,US,United States of America,AMR,25208,655972,2731,33754
4/18/2020,US,United States of America,AMR,31494,687466,2445,36199
4/19/2020,US,United States of America,AMR,30316,717782,2336,38535
4/20/2020,US,United States of America,AMR,28281,746063,1848,40383
4/21/2020,US,United States of America,AMR,26070,772133,1993,42376
4/22/2020,US,United States of America,AMR,26428,798561,2077,44453
4/23/2020,US,United States of America,AMR,25927,824488,2673,47126
4/24/2020,US,United States of America,AMR,30470,854958,2221,49347
4/25/2020,US,United States of America,AMR,33211,888169,1984,51331
4/26/2020,US,United States of America,AMR,34778,922947,2103,53434
4/27/2020,US,United States of America,AMR,33603,956550,1892,55326
4/28/2020,US,United States of America,AMR,26063,982613,1535,56861
4/29/2020,US,United States of America,AMR,23758,1006371,1489,58350
4/30/2020,US,United States of America,AMR,23935,1030306,2111,60461
5/1/2020,US,United States of America,AMR,26774,1057080,2417,62878
5/2/2020,US,United States of America,AMR,31221,1088301,2238,65116
5/3/2020,US,United States of America,AMR,33082,1121383,1953,67069
5/4/2020,US,United States of America,AMR,28292,1149675,1609,68678
5/5/2020,US,United States of America,AMR,25927,1175602,1412,70090
5/6/2020,US,United States of America,AMR,22324,1197926,1271,71361
5/7/2020,US,United States of America,AMR,22878,1220804,2434,73795
5/8/2020,US,United States of America,AMR,25440,1246244,2341,76136
5/9/2020,US,United States of America,AMR,28552,1274796,2033,78169
5/10/2020,US,United States of America,AMR,28833,1303629,1658,79827
5/11/2020,US,United States of America,AMR,25917,1329546,1491,81318
5/12/2020,US,United States of America,AMR,20656,1350202,1073,82391
5/13/2020,US,United States of America,AMR,19950,1370152,1034,83425
5/14/2020,US,United States of America,AMR,23902,1394054,1533,84958
5/15/2020,US,United States of America,AMR,17336,1411390,1507,86465
5/16/2020,US,United States of America,AMR,34643,1446033,1943,88408
5/17/2020,US,United States of America,AMR,26628,1472661,1549,89957
5/18/2020,US,United States of America,AMR,26081,1498742,1239,91196
5/19/2020,US,United States of America,AMR,19917,1518659,927,92123
5/20/2020,US,United States of America,AMR,22744,1541403,946,93069
5/21/2020,US,United States of America,AMR,21923,1563326,1179,94248
5/22/2020,US,United States of America,AMR,23506,1586832,1374,95622
5/23/2020,US,United States of America,AMR,26191,1613023,1083,96705
5/24/2020,US,United States of America,AMR,25963,1638986,1810,98515
5/25/2020,US,United States of America,AMR,21465,1660451,937,99452
5/26/2020,US,United States of America,AMR,20651,1681102,788,100240
5/27/2020,US,United States of America,AMR,19379,1700481,687,100927
5/28/2020,US,United States of America,AMR,17510,1717991,811,101738
5/29/2020,US,United States of America,AMR,19508,1737499,1285,103023
5/30/2020,US,United States of America,AMR,24182,1761681,1251,104274
5/31/2020,US,United States of America,AMR,23741,1785422,1051,105325
6/1/2020,US,United States of America,AMR,24127,1809549,906,106231
6/2/2020,US,United States of America,AMR,21466,1831015,673,106904
6/3/2020,US,United States of America,AMR,17157,1848172,691,107595
6/4/2020,US,United States of America,AMR,20974,1869146,934,108529
6/5/2020,US,United States of America,AMR,20695,1889841,1022,109551
6/6/2020,US,United States of America,AMR,20870,1910711,885,110436
6/7/2020,US,United States of America,AMR,24491,1935202,876,111312
6/8/2020,US,United States of America,AMR,23285,1958487,669,111981
6/9/2020,US,United States of America,AMR,18455,1976942,593,112574
6/10/2020,US,United States of America,AMR,18151,1995093,776,113350
6/11/2020,US,United States of America,AMR,18581,2013674,827,114177
6/12/2020,US,United States of America,AMR,22181,2035855,882,115059
6/13/2020,US,United States of America,AMR,22890,2058745,888,115947
6/14/2020,US,United States of America,AMR,28333,2087078,735,116682
6/15/2020,US,United States of America,AMR,26434,2113512,685,117367
6/16/2020,US,United States of America,AMR,20778,2134290,489,117856
6/17/2020,US,United States of America,AMR,20591,2154881,525,118381
6/18/2020,US,United States of America,AMR,24777,2179658,674,119055
6/19/2020,US,United States of America,AMR,25816,2205474,684,119739
6/20/2020,US,United States of America,AMR,28520,2233994,643,120382
6/21/2020,US,United States of America,AMR,33105,2267099,755,121137
6/22/2020,US,United States of America,AMR,33467,2300566,576,121713
6/23/2020,US,United States of America,AMR,27345,2327911,413,122126
6/24/2020,US,United States of America,AMR,28698,2356609,415,122541
6/25/2020,US,United States of America,AMR,37887,2394496,746,123287
6/26/2020,US,United States of America,AMR,37320,2431816,692,123979
6/27/2020,US,United States of America,AMR,47021,2478837,2533,126512
6/28/2020,US,United States of America,AMR,46540,2525377,706,127218
6/29/2020,US,United States of America,AMR,43653,2569030,593,127811
6/30/2020,US,United States of America,AMR,37583,2606613,439,128250
7/1/2020,US,United States of America,AMR,38517,2645130,461,128711
7/2/2020,US,United States of America,AMR,47253,2692383,662,129373
7/3/2020,US,United States of America,AMR,59342,2751725,782,130155
7/4/2020,US,United States of America,AMR,55452,2807177,704,130859
7/5/2020,US,United States of America,AMR,60366,2867543,810,131669
7/6/2020,US,United States of America,AMR,48978,2916521,539,132208
7/7/2020,US,United States of America,AMR,40413,2956934,460,132668
7/8/2020,US,United States of America,AMR,50763,3007697,598,133266
7/9/2020,US,United States of America,AMR,56754,3064451,928,134194
7/10/2020,US,United States of America,AMR,64775,3129226,1079,135273
7/11/2020,US,United States of America,AMR,61943,3191169,961,136234
7/12/2020,US,United States of America,AMR,68579,3259748,964,137198
7/13/2020,US,United States of America,AMR,68262,3328010,889,138087
7/14/2020,US,United States of America,AMR,58680,3386690,840,138927
7/15/2020,US,United States of America,AMR,56287,3442977,731,139658
7/16/2020,US,United States of America,AMR,64516,3507493,914,140572
7/17/2020,US,United States of America,AMR,72389,3579882,1122,141694
7/18/2020,US,United States of America,AMR,69181,3649063,1089,142783
7/19/2020,US,United States of America,AMR,76952,3726015,1081,143864
7/20/2020,US,United States of America,AMR,67324,3793339,1005,144869
7/21/2020,US,United States of America,AMR,60012,3853351,932,145801
7/22/2020,US,United States of America,AMR,58519,3911870,867,146668
7/23/2020,US,United States of America,AMR,63336,3975206,1193,147861
7/24/2020,US,United States of America,AMR,72416,4047622,1191,149052
7/25/2020,US,United States of America,AMR,73142,4120764,1254,150306
7/26/2020,US,United States of America,AMR,73152,4193916,1284,151590
7/27/2020,US,United States of America,AMR,61596,4255512,1148,152738
7/28/2020,US,United States of America,AMR,57759,4313271,951,153689
7/29/2020,US,United States of America,AMR,54007,4367278,936,154625
7/30/2020,US,United States of America,AMR,58708,4425986,1163,155788
7/31/2020,US,United States of America,AMR,64855,4490841,1179,156967
8/1/2020,US,United States of America,AMR,66141,4556982,1400,158367
8/2/2020,US,United States of America,AMR,68184,4625166,1369,159736
8/3/2020,US,United States of America,AMR,56412,4681578,1164,160900
8/4/2020,US,United States of America,AMR,50849,4732427,922,161822
8/5/2020,US,United States of America,AMR,45329,4777756,853,162675
8/6/2020,US,United States of America,AMR,52056,4829812,1072,163747
8/7/2020,US,United States of America,AMR,55592,4885404,1260,165007
8/8/2020,US,United States of America,AMR,53165,4938569,1211,166218
8/9/2020,US,United States of America,AMR,62506,5001075,1317,167535
8/10/2020,US,United States of America,AMR,51679,5052754,1043,168578
8/11/2020,US,United States of America,AMR,46473,5099227,900,169478
8/12/2020,US,United States of America,AMR,43377,5142604,795,170273
8/13/2020,US,United States of America,AMR,58958,5201562,1098,171371
8/14/2020,US,United States of America,AMR,54392,5255954,1326,172697
8/15/2020,US,United States of America,AMR,51522,5307476,1195,173892
8/16/2020,US,United States of America,AMR,56261,5363737,1047,174939
8/17/2020,US,United States of America,AMR,51137,5414874,952,175891
8/18/2020,US,United States of America,AMR,41495,5456369,889,176780
8/19/2020,US,United States of America,AMR,41589,5497958,637,177417
8/20/2020,US,United States of America,AMR,41625,5539583,928,178345
